,Compound,Date,Negative,Neutral,Positive,Text,Tweets Ago,User
56,0.0,Sat Mar 10 05:31:08 +0000 2018,1.0,0.0,0.0,Trump says Kim meeting is 'in the making' despite concerns https://t.co/fwmefTGAoD,57,BBCWorld
57,0.0,Sat Mar 10 01:29:14 +0000 2018,1.0,0.0,0.0,Rocco Morabito: Cocaine kingpin to be extradited to Italy https://t.co/gJtd1fldSy,58,BBCWorld
58,0.0,Sat Mar 10 00:34:10 +0000 2018,1.0,0.0,0.0,Florida shooting: NRA sues as Florida enacts gun-control law https://t.co/g9u9uQwsoB,59,BBCWorld
59,-0.6249,Fri Mar 09 23:13:24 +0000 2018,0.611,0.389,0.0,Syria war: Jaish al-Islam to evacuate Eastern Ghouta fighters https://t.co/JoMZ4c2xiA,60,BBCWorld
60,-0.6908,Fri Mar 09 23:05:23 +0000 2018,0.598,0.402,0.0,Slovakia journalist murder: Thousands march against corruption https://t.co/JHvoXxE4ZT,61,BBCWorld
61,0.0,Fri Mar 09 23:05:23 +0000 2018,1.0,0.0,0.0,Turkey Cumhuriyet trial: Two journalists released on bail https://t.co/hKI9pdDozi,62,BBCWorld
62,0.4939,Fri Mar 09 22:57:21 +0000 2018,0.758,0.0,0.242,Our mutual friend: Is Dennis Rodman key to Trump-Kim summit? https://t.co/TBCtFanZfo,63,BBCWorld
63,0.0,Fri Mar 09 22:53:19 +0000 2018,1.0,0.0,0.0,"Rare identical triplets go home in Kansas City, Missouri https://t.co/au1UxUeki2",64,BBCWorld
64,0.0,Fri Mar 09 21:23:48 +0000 2018,1.0,0.0,0.0,Damso: Belgium drops rapper's World Cup song after sexism row https://t.co/DnXE8kv9SR,65,BBCWorld
65,-0.2023,Fri Mar 09 20:00:45 +0000 2018,0.795,0.205,0.0,North Carolina officer charged for tasing jaywalker https://t.co/k56Z4x82OQ,66,BBCWorld
66,-0.6597,Fri Mar 09 20:00:45 +0000 2018,0.597,0.403,0.0,Immigration agents detain mother in front of screaming children https://t.co/hebEOmFrjA,67,BBCWorld
67,-0.4767,Fri Mar 09 19:32:23 +0000 2018,0.744,0.256,0.0,Mhlengi Gwala: Chainsaw attack athlete wants to compete again https://t.co/SRJj9tB3uA,68,BBCWorld
68,-0.6697,Fri Mar 09 19:10:09 +0000 2018,0.64,0.36,0.0,Jail for 'most hated man in US' Shkreli https://t.co/6nLmfNSINq,69,BBCWorld
69,-0.7096,Fri Mar 09 18:39:02 +0000 2018,0.442,0.414,0.144,Report finds US hospital failed to protect infants from abuse https://t.co/LIp3OEVs07,70,BBCWorld
70,-0.6486,Fri Mar 09 16:15:15 +0000 2018,0.569,0.431,0.0,Mauritius President Gurib-Fakim to resign over financial scandal https://t.co/nBmAgwUHf5,71,BBCWorld
71,0.0,Fri Mar 09 16:09:23 +0000 2018,1.0,0.0,0.0,Catalonia Spain: Judge refuses to release Jordi Sanchez for investiture https://t.co/OZSrYWx4Ss,72,BBCWorld
72,0.0,Fri Mar 09 15:54:43 +0000 2018,1.0,0.0,0.0,Big cat gets CAT scan https://t.co/tl0hN1flxT,73,BBCWorld
73,0.0,Fri Mar 09 15:43:09 +0000 2018,1.0,0.0,0.0,"@jvn ""Yaass Queen!"" 🙌",74,BBCWorld
74,0.0,Fri Mar 09 14:49:43 +0000 2018,1.0,0.0,0.0,RT @BBC_HaveYourSay: “Orange is the new Barack” and “Barack Mirror” - just two of the ideas you’ve had as the Obamas hold talks with Netfli…,75,BBCWorld
75,0.0,Fri Mar 09 14:39:37 +0000 2018,1.0,0.0,0.0,"Pitches, puns and parodies for Obamas for Netflix show https://t.co/mkqulg4hr8",76,BBCWorld
76,0.0,Fri Mar 09 14:19:21 +0000 2018,1.0,0.0,0.0,Burger-flipping robot takes short break https://t.co/gRqObWoVS4,77,BBCWorld
77,0.0531,Fri Mar 09 14:19:21 +0000 2018,0.723,0.132,0.145,"Trump told to mute Twitter critics, not block them, by New York judge https://t.co/4pBk7Kk5tB",78,BBCWorld
78,-0.7096,Fri Mar 09 12:33:47 +0000 2018,0.543,0.457,0.0,India cricketer Mohammad Shami charged with domestic violence https://t.co/Z3Eq9jYxLF,79,BBCWorld
79,0.2263,Fri Mar 09 12:19:53 +0000 2018,0.84,0.0,0.16,Trump Kim talks: US surprised at 'dramatic' North Korea shift https://t.co/Uzb5V27rtv,80,BBCWorld
80,0.0,Fri Mar 09 11:48:39 +0000 2018,1.0,0.0,0.0,Winter Paralympics opening ceremony begins in Pyeongchang https://t.co/VP4W2q1Hhe,81,BBCWorld
81,0.0,Fri Mar 09 11:40:26 +0000 2018,1.0,0.0,0.0,Kenya's Uhuru Kenyatta and Raila Odinga pledge reconciliation https://t.co/FmOnv65k9x,82,BBCWorld
82,0.0516,Fri Mar 09 11:07:50 +0000 2018,0.882,0.0,0.118,Turkey sentences 25 journalists to jail for 'coup links' https://t.co/kibUX87AVp,83,BBCWorld
83,-0.5719,Fri Mar 09 11:03:38 +0000 2018,0.561,0.439,0.0,Why Quebec doctors have rejected a pay rise https://t.co/YbLk3CbhXb,84,BBCWorld
84,-0.296,Fri Mar 09 10:33:53 +0000 2018,0.784,0.216,0.0,Norwegian airline responds to poem complaint in verse https://t.co/2TNH05FqD3,85,BBCWorld
